,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,toora-khem,99,RU,1603251245,77,52.47,96.11,34.81,2.98
1,airai,13,TL,1603251245,35,-8.93,125.41,81.61,4.59
2,manta,75,EC,1603251245,78,-0.95,-80.73,73.4,12.75
3,sorland,40,NO,1603251174,69,67.67,12.69,37.4,6.93
4,markova,96,UA,1603251094,76,48.68,24.41,38.5,6.73
5,saldanha,0,ZA,1603250947,81,-33.01,17.94,42.8,4.7
6,ushuaia,100,AR,1603251247,86,-54.8,-68.3,39.2,8.05
7,vao,86,NC,1603251135,84,-22.67,167.48,73.42,13.56
8,castro,32,BR,1603251247,95,-24.79,-50.01,61.12,4.81
9,bambous virieux,75,MU,1603251247,69,-20.26,57.41,78.01,12.75
10,lavrentiya,83,RU,1603251247,92,65.58,-171.0,38.5,7.18
11,geraldton,90,AU,1603251193,56,-28.77,114.6,71.6,17.22
12,mountain home,55,CO,1603251248,74,13.37,-81.37,82.74,3.78
13,deputatskiy,98,RU,1603251248,95,69.3,139.9,8.51,1.72
14,itabira,100,BR,1603251248,99,-19.62,-43.23,61.47,1.39
15,albany,100,US,1603251098,88,42.6,-73.97,53.01,3.4
16,bredasdorp,0,ZA,1603251225,86,-34.53,20.04,41.0,3.36
17,ponta do sol,40,PT,1603251248,74,38.73,-28.27,59.5,21.99
18,thompson,90,CA,1603251162,85,55.74,-97.86,24.8,1.43
19,punta arenas,100,PH,1603251249,65,8.99,125.34,87.82,2.01
20,ipixuna,20,BR,1603251249,88,-1.76,-48.8,77.0,5.82
21,mataura,23,NZ,1603251249,60,-46.19,168.86,55.99,14.0
22,ancud,0,CL,1603251249,80,-41.87,-73.82,42.01,8.05
23,sibut,100,CF,1603251249,94,5.72,19.07,71.38,2.19
24,east london,40,IS,1603251249,92,65.0,-15.0,23.0,4.7
25,wismar,100,DE,1603251249,97,53.9,11.47,54.0,4.0
26,necochea,0,AR,1603251249,94,-38.55,-58.74,39.99,1.01
27,omsukchan,45,RU,1603251250,92,62.53,155.8,16.3,1.54
28,lompoc,90,US,1603251089,93,34.64,-120.46,57.2,5.82
29,mayumba,100,GA,1603251251,87,-3.43,10.66,76.8,5.68
30,chulumani,100,BO,1603250990,80,-16.41,-67.53,62.17,0.89
31,new norfolk,60,LR,1603251068,98,6.65,-10.59,72.46,2.08
32,ribeira grande,90,ES,1603251251,93,42.75,-8.44,57.99,8.05
33,rikitea,21,PF,1603251251,76,-23.12,-134.97,73.9,9.73
34,bluff,42,NZ,1603251251,60,-46.6,168.33,55.99,14.0
35,hermanus,0,ZA,1603251251,84,-34.42,19.23,51.01,1.99
36,avarua,100,CK,1603251251,88,-21.21,-159.78,75.2,5.82
37,tasiilaq,100,GL,1603251251,97,65.61,-37.64,32.0,13.87
38,hobart,75,AU,1603250956,48,-42.88,147.33,63.0,9.17
39,saskylakh,91,RU,1603251252,96,71.92,114.08,19.4,8.77
40,gogrial,56,SS,1603251252,86,8.53,28.1,71.8,4.99
41,impfondo,72,CG,1603251252,98,1.64,18.07,69.51,1.88
42,artyom,75,AZ,1603251253,82,40.47,50.33,59.0,13.87
43,nikolskoye,90,RU,1603251110,100,59.7,30.79,30.0,2.24
44,ilhabela,22,BR,1603251200,88,-23.78,-45.36,71.06,0.96
45,leshukonskoye,69,RU,1603251253,98,64.9,45.76,23.41,3.74
46,savelugu,0,GH,1603251253,83,9.62,-0.83,76.01,4.12
47,bengkulu,32,ID,1603251253,62,-3.8,102.27,85.55,5.68
48,olafsvik,100,IS,1603251195,80,64.89,-23.71,42.33,12.46
49,gimli,100,CA,1603251253,98,50.63,-96.99,30.0,5.99
50,tuktoyaktuk,90,CA,1603251253,92,69.45,-133.04,23.0,18.34
51,port blair,26,CD,1603251254,72,-7.03,29.76,73.0,3.67
52,novobirilyussy,100,RU,1603251254,84,56.95,90.67,38.97,7.25
53,puerto ayora,75,ES,1603251254,93,36.59,-6.23,66.2,12.75
54,hamilton,90,US,1603251137,93,39.18,-84.53,57.2,5.75
55,trinidad,4,BO,1603251115,65,-14.83,-64.9,76.37,2.53
56,fort nelson,100,NL,1603251254,92,52.65,6.39,55.0,1.99
57,manggar,88,ID,1603251254,74,-2.88,108.27,84.52,7.74
58,esperance,90,AU,1603250980,100,-33.87,121.9,60.8,17.22
59,kapaa,75,US,1603251198,83,22.08,-159.32,79.0,10.29
60,lichuan,19,CN,1603251254,60,30.3,108.85,60.15,3.2
61,guerrero negro,95,MX,1603251254,75,17.67,-100.0,66.79,3.15
62,asau,1,RO,1603251206,100,46.43,26.4,39.2,11.41
63,codrington,43,AU,1603251256,70,-38.27,141.97,57.97,10.29
64,butaritari,49,KI,1603251256,73,3.07,172.79,82.49,8.52
65,matagami,20,CA,1603251256,100,49.75,-77.63,26.6,2.24
66,kaitangata,56,NZ,1603251044,59,-46.28,169.85,52.99,6.31
67,qaanaaq,68,GL,1603251127,83,77.48,-69.36,20.37,5.84
68,upernavik,100,GL,1603251130,98,72.79,-56.15,31.98,1.9
69,alice springs,1,US,1603251187,94,27.75,-98.07,75.2,3.36
70,carnarvon,75,AU,1603251257,57,-24.87,113.63,75.2,18.34
71,guerrero,95,MX,1603251254,75,17.67,-100.0,66.79,3.15
72,drumheller,81,CA,1603251257,72,51.46,-112.71,28.0,3.0
73,jalu,0,LY,1603251199,73,29.03,21.55,62.37,9.91
74,brookings,90,US,1603251182,100,44.31,-96.8,35.6,13.87
75,nanortalik,100,GL,1603250979,91,60.14,-45.24,35.13,18.1
76,nome,90,US,1603251258,80,64.5,-165.41,41.0,4.7
77,oistins,40,BB,1603251170,83,13.07,-59.53,80.6,6.93
78,jamestown,90,US,1603251058,100,42.1,-79.24,48.99,5.82
79,adrar,0,MR,1603251258,19,20.5,-10.07,80.6,4.9
80,samarai,90,PG,1603251258,79,-10.62,150.67,81.3,10.51
81,luanda,75,AO,1603251181,83,-8.84,13.23,75.2,6.93
82,zlitan,2,LY,1603251216,67,32.47,14.57,66.06,4.34
83,eydhafushi,96,MV,1603251258,78,5.1,73.07,82.72,13.78
84,katete,94,UG,1603251258,97,-0.78,29.75,61.77,2.57
85,fereydun kenar,0,IR,1603251258,25,34.37,46.92,37.4,4.7
86,port-gentil,100,GA,1603251001,85,-0.72,8.78,78.28,13.35
87,sabha,20,LY,1603250971,65,27.04,14.43,65.66,11.88
88,shadegan,0,IR,1603251259,54,30.65,48.66,60.8,7.31
89,batagay,83,RU,1603251259,92,67.63,134.63,11.19,3.15
90,havre,100,FR,1603251259,93,49.58,0.33,57.2,12.75
91,popondetta,100,PG,1603251259,52,-8.75,148.25,89.35,5.82
92,bandarbeyla,3,SO,1603251259,63,9.49,50.81,80.64,12.68
93,abapo,97,BO,1603251259,96,-18.83,-63.47,65.28,1.43
94,mackay,2,AU,1603251062,51,-21.15,149.2,84.2,16.11
95,sitka,90,US,1603251259,86,57.05,-135.33,41.0,3.36
96,penarroya-pueblonuevo,35,ES,1603251260,77,38.3,-5.27,62.6,10.29
97,mount isa,100,GB,1603251260,96,53.66,-1.85,55.99,3.0
98,bethel,54,US,1603251165,97,41.37,-73.41,60.01,0.51
99,verkhoyansk,91,RU,1603251186,87,67.54,133.38,10.22,2.93
100,shakawe,0,BW,1603251260,24,-18.37,21.85,67.12,6.04
101,turukhansk,100,RU,1603251260,97,65.82,87.98,20.75,12.06
102,fortuna,1,US,1603251163,87,40.6,-124.16,57.0,11.41
103,husavik,40,IS,1603251260,92,66.04,-17.34,24.8,4.7
104,juneau,75,US,1603251178,80,58.3,-134.42,39.0,10.29
105,svetlogorsk,100,BY,1603251211,84,52.63,29.73,41.18,9.04
106,hilo,90,US,1603251260,58,19.73,-155.09,82.4,6.93
107,chongwe,0,ZM,1603251260,35,-15.33,28.68,69.48,4.63
108,saint-philippe,7,RE,1603251260,50,-21.36,55.77,75.99,4.7
109,kahului,20,US,1603251261,38,20.89,-156.47,89.6,8.05
110,angoche,0,MZ,1603251261,80,-16.23,39.91,75.45,5.12
111,norman wells,75,US,1603251261,88,35.22,-97.44,68.0,8.05
112,vaini,75,TO,1603251261,69,-21.2,-175.2,75.2,9.17
113,cidreira,63,BR,1603251261,95,-30.18,-50.21,67.84,6.17
114,busselton,18,AU,1603251261,34,-33.65,115.33,73.99,8.79
